,Date,Price,Open,High,Low,Vol.,Change %,Close,rsi,rsi at 70,rsi at 30,rsi at 50,buy,sell,Stop_loss,Profit,future_returns
40,27/10/2016,"27,236.78","27,120.39","27,242.02","27,080.20",155.59M,0.43%,27236.78,28.684870304414922,70,30,50,,,,,0.0011899299377775563
41,28/10/2016,"27,294.21","27,236.78","27,296.32","27,192.46",148.45M,0.21%,27294.21,32.04241674064501,70,30,50,,,,,-0.0010788009017893563
42,31/10/2016,"27,220.09","27,294.21","27,317.10","27,215.56",219.90M,-0.27%,27220.09,30.015919186813406,70,30,50,,,,,-0.006565017624750813
43,01/11/2016,"27,252.48","27,219.69","27,277.25","27,196.56",186.86M,0.12%,27252.48,32.10097360520117,70,30,50,,,,,-0.0023206317324574455
44,02/11/2016,"27,223.08","27,252.48","27,309.00","27,211.28",202.70M,-0.11%,27223.08,31.16454892857183,70,30,50,,,,,-0.003486079402259201
45,03/11/2016,"27,044.36","27,223.08","27,592.42","27,031.60",112.52M,-0.66%,27044.36,26.034838508510227,70,30,50,,,,,-0.019461430833761728
46,04/11/2016,"26,981.60","27,044.36","27,044.36","26,896.11",151.85M,-0.23%,26981.6,24.463676399403017,70,30,50,,,,,-0.0072287228131103776
47,07/11/2016,"26,887.54","26,981.60","26,982.08","26,872.46",115.04M,-0.35%,26887.54,22.22969691585121,70,30,50,,,,,0.0018361950493033241
48,08/11/2016,"26,364.27","26,884.58","26,887.88","26,331.97",189.01M,-1.95%,26364.27,14.209150884227572,70,30,50,,,,,-0.0019399925634253634
49,09/11/2016,"26,173.69","26,364.27","26,371.37","26,083.76",146.11M,-0.72%,26173.69,12.398813578530714,70,30,50,,,,,-0.007033389782842625
50,10/11/2016,"26,221.75","26,173.69","26,327.35","26,142.94",137.64M,0.18%,26221.75,15.418290858832027,70,30,50,,,,,-0.00499291756087028
51,11/11/2016,"26,170.88","26,221.75","26,278.62","26,137.33",199.92M,-0.19%,26170.88,14.817621156489524,70,30,50,,,,,-0.00788643411122536
52,14/11/2016,"25,986.81","26,170.88","26,239.39","25,973.27",160.91M,-0.70%,25986.81,12.811016369526282,70,30,50,,,,,-0.0020796674403210647
53,15/11/2016,"25,857.06","25,986.81","26,027.55","25,795.52",189.73M,-0.50%,25857.06,11.582534364682207,70,30,50,,,,,-0.002431660572215666
54,16/11/2016,"25,653.14","25,857.06","25,857.86","25,632.09",145.74M,-0.79%,25653.14,9.921192412404576,70,30,50,,,,,-0.0012385687893196051
55,17/11/2016,"25,599.79","25,653.14","25,661.40","25,595.39",161.59M,-0.21%,25599.79,9.524082546149513,70,30,50,,,,,-0.001710583939173338
56,18/11/2016,"25,537.54","25,599.79","25,609.33","25,527.83",165.58M,-0.24%,25537.54,9.054230858567283,70,30,50,,,,,0.002149061278094555
57,21/11/2016,"25,505.91","25,537.54","25,537.77","25,486.53",112.44M,-0.12%,25505.91,8.808886552257263,70,30,50,,,,,-0.0010306854254026332
58,22/11/2016,"25,462.28","25,499.00","25,499.00","25,426.12",120.93M,-0.17%,25462.28,8.457636072936992,70,30,50,,,,,-0.0061712703064255026
59,23/11/2016,"25,517.00","25,461.34","25,541.06","25,427.04",165.72M,0.21%,25517.0,13.276567368303324,70,30,50,,,,,-0.0005913144667966108
60,24/11/2016,"25,490.70","25,517.00","25,523.13","25,465.67",97.14M,-0.10%,25490.7,12.913538612565567,70,30,50,,,,,-0.0033568458682832203
61,25/11/2016,"25,333.39","25,490.70","25,501.92","25,312.28",144.16M,-0.62%,25333.39,10.927707314517745,70,30,50,,,,,0.00032536215859768625
62,28/11/2016,"25,318.41","25,330.87","25,358.67","25,273.71",202.43M,-0.06%,25318.41,10.752750989701623,70,30,50,,,,,0.0009290208278942558
63,29/11/2016,"25,233.42","25,318.41","25,318.41","25,188.20",511.58M,-0.34%,25233.42,9.766983372000704,70,30,50,,,,,0.018830338158438487
64,30/11/2016,"25,241.63","25,233.42","25,362.12","25,198.36",414.13M,0.03%,25241.63,10.646209845587997,70,30,50,,,,,8.546732953051972e-05
65,01/12/2016,"25,265.08","25,241.63","25,267.75","25,212.02",773.87M,0.09%,25265.08,13.326481940686191,70,30,50,,,,,-0.0027891044682774035
66,02/12/2016,"25,740.83","25,265.08","25,926.12","25,154.17",576.38M,1.88%,25740.83,48.29090101047373,70,30,50,,25740.83,,,0.00010011207098381547
67,05/12/2016,"25,743.03","25,740.83","25,845.35","25,706.17",175.05M,0.01%,25743.03,48.397857957104726,70,30,50,,,,,0.0025465649806417634
68,06/12/2016,"25,671.23","25,743.03","25,807.65","25,664.94",189.40M,-0.28%,25671.23,45.02097378657569,70,30,50,,,,,0.003050213720872108
69,07/12/2016,"25,673.80","25,671.23","25,746.46","25,669.87",255.73M,0.01%,25673.8,45.17311600950762,70,30,50,,,,,0.009817687020023946
70,08/12/2016,"25,739.18","25,673.80","25,809.18","25,638.37",166.00M,0.25%,25739.18,49.15059481891003,70,30,50,,,,,0.012906215143476452
71,09/12/2016,"25,817.69","25,739.18","25,817.69","25,684.15",108.52M,0.31%,25817.69,53.638176546468685,70,30,50,,,,,0.005732053299726925
72,13/12/2016,"26,071.16","25,817.69","26,071.21","25,817.69",376.70M,0.98%,26071.16,64.78621153320823,70,30,50,,,,,0.005575885546938775
73,14/12/2016,"26,407.64","26,071.16","26,407.64","26,068.56",205.33M,1.29%,26407.64,74.00568897901778,70,30,50,,,26407.64,,-0.004513406547322574
74,15/12/2016,"26,559.01","26,407.64","26,578.78","26,363.99",199.98M,0.57%,26559.01,77.01383014452671,70,30,50,,,,,-0.0017185374866098835
75,16/12/2016,"26,707.10","26,559.01","26,722.77","26,413.42",874.34M,0.56%,26707.1,79.58227720102077,70,30,50,,,,,-0.004625319365943903
76,19/12/2016,"26,586.56","26,707.10","26,707.10","26,543.01",262.90M,-0.45%,26586.56,72.27806367846436,70,30,50,,,,,0.0017681052883797843
77,20/12/2016,"26,540.87","26,586.56","26,602.42","26,509.70",248.71M,-0.17%,26540.87,69.58814101135751,70,30,50,,,,,0.0008010634495152491
78,21/12/2016,"26,418.11","26,529.94","26,529.94","26,395.79",421.18M,-0.46%,26418.11,62.62977384606355,70,30,50,,,,,0.007635348761346528
79,22/12/2016,"26,464.82","26,418.11","26,490.12","26,415.92",188.68M,0.18%,26464.82,64.145518451649,70,30,50,,,,,0.003547628638071121
80,23/12/2016,"26,486.02","26,464.82","26,642.26","26,431.77",138.91M,0.08%,26486.02,64.86419536364829,70,30,50,,,,,0.003423449189465133
81,28/12/2016,"26,688.25","26,488.95","26,701.53","26,488.95",130.64M,0.76%,26688.25,71.02083021995671,70,30,50,,,,,-0.009590089087771259
82,29/12/2016,"26,782.93","26,688.25","26,790.54","26,648.64",116.89M,0.35%,26782.93,73.44166165678241,70,30,50,,,,,-0.004577920260406043
83,30/12/2016,"26,874.62","26,782.93","26,874.62","26,704.01",106.30M,0.34%,26874.62,75.63203935891465,70,30,50,,,,,-0.010679357343865159
84,03/01/2017,"26,616.89","26,874.62","26,874.62","26,574.27",106.43M,-0.96%,26616.89,60.14075352798818,70,30,50,,,,,0.0014993081436847078
85,04/01/2017,"26,495.04","26,616.89","26,648.35","26,492.45",62.09M,-0.46%,26495.04,54.29841328782183,70,30,50,,,,,0.012526193851068568
86,05/01/2017,"26,212.09","26,495.04","26,623.98","26,212.09",137.69M,-1.07%,26212.09,43.41631598575199,70,30,50,26212.09,,,,-0.008802786432918874
87,06/01/2017,"26,251.39","26,212.09","26,285.49","26,203.89",210.21M,0.15%,26251.39,45.113888262562405,70,30,50,,,,,0.0015015425351017075
88,09/01/2017,"26,580.22","26,251.39","26,580.22","26,244.67",209.02M,1.25%,26580.22,57.08388058861647,70,30,50,,,,,-0.0020999931781487957
89,10/01/2017,"26,346.24","26,580.22","26,628.85","26,338.81",279.34M,-0.88%,26346.24,48.688793360464,70,30,50,,,,,-0.00016938602124760838
90,11/01/2017,"26,385.80","26,346.24","26,411.21","26,325.21",197.45M,0.15%,26385.8,50.068297892819515,70,30,50,,,,,0.001819498874303882
91,12/01/2017,"26,330.39","26,385.80","26,414.92","26,305.65",179.33M,-0.21%,26330.39,48.057531041857764,70,30,50,,,,,-0.0036259428380330805
92,13/01/2017,"26,325.93","26,330.15","26,350.33","26,278.04",148.57M,-0.02%,26325.93,47.885539348690315,70,30,50,,,,,-0.0012504661658713223
93,16/01/2017,"26,373.83","26,325.93","26,378.56","26,325.93",174.00M,0.18%,26373.83,50.02005779188256,70,30,50,,,,,-0.001666581572195347
94,17/01/2017,"26,278.20","26,373.83","26,375.68","26,271.52",371.87M,-0.36%,26278.2,45.85391440509642,70,30,50,,,,,0.0008373534440646591
95,18/01/2017,"26,245.34","26,278.20","26,308.87","26,236.00",394.82M,-0.13%,26245.34,44.44071970078791,70,30,50,,,,,0.0002985866896687561
96,19/01/2017,"26,201.60","26,245.34","26,246.42","26,168.49",196.46M,-0.17%,26201.6,42.50332886586661,70,30,50,,,,,-0.0005272313264613748
97,20/01/2017,"26,223.54","26,201.60","26,228.41","26,160.76",203.19M,0.08%,26223.54,43.86718424357492,70,30,50,,,,,0.0008738424733976125
98,23/01/2017,"26,231.37","26,223.54","26,231.37","26,107.29",228.59M,0.03%,26231.37,44.39025346300588,70,30,50,,,,,0.0018864005762095903
99,24/01/2017,"26,217.54","26,231.37","26,296.54","26,122.99",187.70M,-0.05%,26217.54,43.5930349947063,70,30,50,,,,,0.001455689341364197
100,25/01/2017,"26,240.45","26,217.54","26,248.36","26,214.85",189.99M,0.09%,26240.45,45.39795932792007,70,30,50,,,,,-0.004217527808564325
101,26/01/2017,"26,289.95","26,240.45","26,295.29","26,211.25",146.49M,0.19%,26289.95,49.29316480904851,70,30,50,,,,,-0.006901581329494588
102,27/01/2017,"26,328.22","26,289.95","26,361.45","26,277.08",237.79M,0.15%,26328.22,52.2211440853521,70,30,50,,,,,-0.005096357999465395
103,30/01/2017,"26,217.18","26,328.22","26,339.35","26,191.13",143.52M,-0.42%,26217.18,44.02548120041793,70,30,50,,,,,0.0012619891868104194
104,31/01/2017,"26,036.24","26,217.18","26,244.80","25,912.22",205.75M,-0.69%,26036.24,34.283706249255935,70,30,50,,,,,-0.005154949213918458
105,01/02/2017,"25,903.55","26,036.24","26,084.25","25,800.68",246.36M,-0.51%,25903.55,29.046610227797952,70,30,50,,,25903.55,,-0.008349953144147881
106,02/02/2017,"25,936.24","25,903.55","25,936.24","25,750.45",151.50M,0.13%,25936.24,31.894474811765193,70,30,50,,,,,-0.005488314614909284
107,03/02/2017,"25,802.54","25,936.24","26,084.39","25,790.59",144.47M,-0.52%,25802.54,26.974397601745792,70,30,50,,,,,0.0005419178784171752
108,06/02/2017,"25,587.09","25,802.54","25,812.09","25,575.20",152.36M,-0.83%,25587.09,21.136440535797977,70,30,50,,,,,-0.005426062775795493
109,07/02/2017,"25,446.66","25,587.09","25,595.97","25,380.40",207.18M,-0.55%,25446.66,18.272420162481307,70,30,50,,,,,0.0006997784561435516
110,08/02/2017,"25,460.45","25,446.66","25,511.10","25,424.96",347.82M,0.05%,25460.45,19.46311626734973,70,30,50,,,,,-0.003763611867709571
111,09/02/2017,"25,322.30","25,460.45","25,472.15","25,257.02",142.83M,-0.54%,25322.3,16.747187954766996,70,30,50,,,,,-0.008416832873500035
112,10/02/2017,"25,340.02","25,322.30","25,350.03","25,204.41",201.73M,0.07%,25340.02,18.37057831954786,70,30,50,,,,,0.003918557600080197
113,13/02/2017,"25,244.65","25,340.02","25,475.13","25,232.94",141.91M,-0.38%,25244.65,16.452123527385567,70,30,50,,,,,-0.002983256042714988
114,14/02/2017,"25,032.17","25,244.29","25,246.17","25,000.95",144.89M,-0.84%,25032.17,13.072606150655238,70,30,50,,,,,0.004375123975814965
115,15/02/2017,"25,130.26","25,032.17","25,130.26","24,962.19",161.84M,0.39%,25130.26,21.3586607459093,70,30,50,,,,,0.0033610293062840135
116,16/02/2017,"25,055.29","25,130.26","25,171.26","25,041.74",144.39M,-0.30%,25055.29,19.759175574155275,70,30,50,,,,,8.475418711428873e-05
117,17/02/2017,"25,164.91","25,055.29","25,188.29","25,025.87",480.00M,0.44%,25164.91,28.462760218039882,70,30,50,,,,,-7.484665346357833e-05
118,20/02/2017,"25,249.49","25,164.91","25,273.94","25,128.57",103.36M,0.34%,25249.49,34.54906893899704,70,30,50,,,,,0.006309767942164868
119,21/02/2017,"25,251.63","25,249.49","25,323.81","25,181.86",125.15M,0.01%,25251.63,34.70524113027083,70,30,50,,,,,-0.00624541010175117
120,22/02/2017,"25,249.74","25,251.63","25,263.49","25,181.34",118.46M,-0.01%,25249.74,34.62416878199797,70,30,50,,,,,0.004873195917525219
121,23/02/2017,"25,409.06","25,249.74","25,409.06","25,204.33",146.71M,0.63%,25409.06,46.360412063064,70,30,50,,25409.06,,,-0.0017474979722873485
122,24/02/2017,"25,250.37","25,409.06","25,417.10","25,223.02",259.31M,-0.62%,25250.37,38.67630202131638,70,30,50,,,,,-0.005763336054843027
123,27/02/2017,"25,373.42","25,250.37","25,382.73","25,218.23",254.75M,0.49%,25373.42,46.33919901444891,70,30,50,,,,,-0.014037588700358539
124,28/02/2017,"25,329.08","25,373.42","25,402.89","25,286.61",444.50M,-0.17%,25329.08,44.13128194933961,70,30,50,,,,,0.007349698484751421
