open,high,low,close,volume
186.46,186.81,186.2,186.7,61207.0
186.1,186.58,186.08,186.41,51160.0
186.07,186.18,185.91,186.1,32479.0
186.1,186.2,186.04,186.07,21260.0
186.18,186.2,185.93,186.08,26471.0
186.26,186.34,185.95,186.1,34260.0
186.44,186.48,186.1,186.25,64205.0
185.93,186.45,185.9,186.4,73284.0
185.45,185.94,185.35,185.94,42953.0
185.42,185.49,185.26,185.43,17941.0
185.35,185.5,185.25,185.48,30106.0
185.07,185.36,184.93,185.35,39173.0
185.24,185.29,185.0,185.05,29900.0
184.88,185.25,184.6,185.225,37731.0
184.86,184.97,184.6,184.9,42046.0
184.86,185.44,184.8,184.86,51947.0
184.905,185.0,184.67,184.86,47304.0
185.19,185.29,184.72,184.905,37327.0
184.6,185.47,184.6,185.19,74237.0
184.19,184.94,184.11,184.64,60296.0
184.94,184.99,184.0,184.19,79773.0
185.17,185.3,184.5,184.94,79958.0
184.71,185.48,184.3,185.17,135022.0
183.6,184.77,183.5,184.74,116851.0
183.7,183.84,182.53,183.6,233982.0
184.35,184.55,183.37,183.77,213765.0
184.87,184.9,184.11,184.41,160082.0
185.74,185.74,184.61,184.87,243827.0
185.7,186.0,185.5,185.66,107670.0
186.39,186.5,185.5,185.675,181163.0
186.99,187.09,186.065,186.375,121091.0
187.075,187.4,186.9,187.0,69762.0
187.58,187.7,186.9,187.0,85113.0
187.39,188.0,187.25,187.4,79820.0
187.99,188.36,187.22,187.34,145577.0
187.45,188.13,187.0,187.88,155909.0
187.21,187.45,186.3,187.45,183044.0
186.36,196.509,185.58,187.2,404536.0
188.75,194.943,186.35,186.46,337399.0
189.4,189.75,188.11,188.75,227565.0
190.54,191.59,189.2,189.38,176417.0
190.48,190.65,190.45,190.55,31163.0
190.63,190.65,190.21,190.5,43404.0
190.725,190.75,190.55,190.63,36507.0
191.0,191.59,190.66,190.76,33530.0
190.97,191.59,190.5,190.89,131945.0
191.22,191.59,190.42,190.97,314521.0
191.6,192.19,191.0,191.03,3799842.0
191.9,192.06,191.58,191.59,1533362.0
192.0,192.28,191.83,191.89,975970.0
191.76,192.028,191.69,192.01,603128.0
191.78,191.99,191.68,191.769,705959.0
191.68,191.96,191.61,191.77,584120.0
191.99,192.17,191.61,191.67,734915.0
192.078,192.09,191.87,191.98,544720.0
192.06,192.278,192.0,192.05,540526.0
191.89,192.12,191.84,192.08,396805.0
191.98,192.189,191.87,191.902,587073.0
191.962,192.14,191.86,191.97,567404.0
192.26,192.34,191.96,191.97,652332.0
191.997,192.25,191.83,192.23,629366.0
192.12,192.23,191.96,191.961,576385.0
191.88,192.25,191.87,192.11,727113.0
191.55,191.91,191.45,191.895,469980.0
191.82,191.86,191.44,191.54,513085.0
191.863,192.0,191.74,191.82,520682.0
191.869,191.92,191.68,191.853,444342.0
191.7,192.052,191.66,191.865,509591.0
191.69,192.057,191.5,191.726,645552.0
191.38,191.79,191.21,191.671,672765.0
191.33,191.69,191.14,191.386,703013.0
191.43,191.55,191.27,191.31,574892.0
191.79,191.998,191.3,191.45,755854.0
191.76,192.157,191.66,191.765,722905.0
191.7,191.88,191.52,191.72,770530.0
192.04,192.34,191.65,191.711,876815.0
191.96,192.03,191.69,192.02,799053.0
192.1,192.4,191.92,191.96,2362056.0
191.719,194.392,191.65,192.085,851897.0
191.7,191.98,191.59,191.715,876679.0
191.41,191.8,191.39,191.69,871957.0
190.896,191.47,190.73,191.4,845887.0
191.11,191.4,190.61,190.88,1075546.0
191.481,191.74,190.9,191.1,1012223.0
191.13,191.5,190.754,191.49,897593.0
191.434,191.625,191.07,191.14,947701.0
191.04,191.48,190.77,191.42,1351948.0
191.145,191.34,191.0,191.03,869174.0
191.75,191.8,191.03,191.15,1037556.0
191.62,191.76,191.281,191.735,1043842.0
191.874,191.96,191.38,191.64,1142571.0
191.58,192.12,191.46,191.86,1380840.0
192.77,192.86,191.55,191.59,2015458.0
192.97,193.15,192.74,192.79,849593.0
193.342,193.48,192.8,192.98,1010487.0
193.859,194.0,193.23,193.349,986500.0
193.732,194.0,193.52,193.85,701960.0
193.99,194.24,193.54,193.75,986646.0
193.89,194.4,193.89,193.99,1334759.0
193.268,194.05,193.22,193.915,1393067.0
193.27,193.33,192.66,193.27,1181815.0
193.28,193.64,193.2,193.25,1151268.0
193.06,193.59,192.96,193.271,1339017.0
192.85,193.13,192.75,193.072,1026591.0
193.03,193.07,192.62,192.85,1370201.0
193.522,193.78,193.0,193.049,1527741.0
193.47,193.59,193.2,193.54,1170123.0
194.48,194.5,193.34,193.455,1931842.0
194.68,194.72,194.25,194.5,1277957.0
194.6,194.932,194.38,194.685,1614784.0
195.081,195.16,194.47,194.615,1908328.0
195.76,196.09,194.74,195.099,2149822.0
195.338,196.359,195.28,195.77,2785295.0
194.81,195.449,194.76,195.331,1998242.0
194.28,195.149,193.92,194.799,2084442.0
194.14,194.53,193.86,194.28,1595444.0
193.48,194.3,193.06,194.175,2033915.0
193.775,194.17,193.25,193.452,1588399.0
193.16,194.205,192.64,193.76,2045879.0
194.418,194.48,192.86,193.138,2797795.0
193.731,195.33,193.57,194.445,2436058.0
193.902,194.19,193.17,193.726,2349261.0
192.322,193.98,192.29,193.915,2961858.0
192.599,193.33,192.19,192.315,3148104.0
193.85,194.63,192.53,192.58,3444876.0
195.33,195.51,193.265,193.83,5407565.0
195.12,195.9,195.12,195.36,198562.0
194.74,195.39,194.7,195.12,106178.0
194.72,194.8,194.6,194.77,73575.0
194.78,194.99,194.71,194.75,62588.0
195.49,195.49,194.75,194.77,106961.0
195.0,195.49,195.0,195.48,48439.0
195.13,195.14,183.885,195.01,68571.0
195.19,195.23,195.05,195.115,66600.0
195.16,195.45,195.0,195.2,72814.0
195.16,195.37,195.01,195.15,66874.0
195.6,195.62,195.1,195.16,63086.0
195.69,195.69,190.93,195.6,39507.0
195.35,195.88,195.31,195.67,96202.0
195.03,195.45,194.99,195.35,68222.0
195.08,195.19,194.95,195.0,38496.0
195.13,195.15,190.93,195.0,66506.0
194.6,195.15,194.58,195.14,70302.0
195.26,196.01,190.93,194.645,517321.0
195.07,195.25,195.03,195.14,28513.0
194.91,195.09,194.76,195.07,22349.0
194.87,195.0,194.7,194.89,31219.0
194.85,194.88,194.6,194.87,48045.0
195.24,195.35,194.8,194.85,67826.0
195.3,195.35,195.2,195.24,22888.0
195.51,195.54,195.25,195.31,24850.0
195.55,195.65,195.48,195.52,25187.0
195.2,195.57,195.2,195.55,22837.0
195.43,195.45,195.05,195.15,33827.0
195.43,195.45,195.31,195.44,13172.0
195.35,195.62,195.12,195.44,65554.0
195.61,195.67,195.34,195.4,16718.0
195.39,195.69,195.39,195.61,16021.0
195.24,195.42,195.24,195.42,8155.0
195.4,195.41,195.05,195.26,21319.0
195.39,195.4,195.34,195.4,4498.0
195.3,195.51,195.28,195.38,15111.0
195.25,195.3,195.02,195.3,15870.0
195.39,195.5,195.17,195.25,14295.0
195.46,195.54,195.3,195.39,4658.0
195.49,195.55,195.39,195.43,15561.0
195.25,195.52,195.11,195.49,11794.0
195.52,195.55,195.0,195.29,43566.0
195.79,195.85,195.43,195.52,15739.0
196.02,196.28,195.63,195.8,61602.0
195.86,196.04,195.52,196.02,28379.0
195.95,196.04,195.65,195.86,22985.0
195.86,196.0,195.8,195.95,40214.0
195.51,195.99,195.51,195.85,27064.0
195.58,195.67,195.24,195.51,20102.0
195.65,195.65,195.04,195.54,47760.0
195.35,195.71,195.25,195.65,82478.0
195.07,195.35,194.8,195.35,38354.0
194.99,195.05,194.8,195.05,28428.0
194.68,195.3,194.6,194.91,71767.0
194.64,194.85,194.58,194.66,25554.0
194.4,194.7,194.3,194.64,21682.0
194.67,194.79,194.12,194.41,23072.0
194.1,194.66,193.98,194.6,22400.0
194.21,194.28,194.01,194.04,13476.0
193.98,194.33,193.92,194.28,13413.0
194.19,194.39,193.8,194.02,28260.0
194.34,194.76,194.01,194.19,38245.0
193.99,194.34,193.88,194.34,19499.0
193.9,194.02,193.73,193.95,22068.0
194.21,194.48,193.56,193.96,44137.0
194.1,195.58,193.42,194.18,84728.0
192.315,192.6,192.26,192.59,60901.0
192.36,192.45,192.28,192.368,27969.0
192.231,192.4,192.23,192.37,22860.0
192.165,192.3,192.15,192.3,19060.0
192.1,192.19,192.0,192.165,24716.0
192.13,192.2,192.07,192.085,18239.0
192.035,192.18,192.02,192.13,9160.0
192.135,192.18,192.0,192.03,24868.0
192.18,192.18,192.06,192.13,18198.0
192.185,192.27,192.12,192.16,20675.0
192.3,192.3,192.1,192.2,31381.0
192.41,192.42,192.25,192.275,11948.0
192.39,192.42,192.31,192.4,12638.0
192.31,192.4,192.25,192.4,28164.0
192.46,192.48,192.3,192.315,25665.0
192.36,192.48,192.32,192.43,25164.0
192.39,192.41,192.3,192.35,20410.0
192.35,192.46,192.31,192.41,26046.0
192.18,192.44,192.15,192.31,43156.0
192.16,192.2,192.1,192.2,11590.0
192.07,192.16,192.01,192.13,20721.0
192.25,192.3,192.01,192.09,39175.0
192.06,192.25,192.05,192.15,26370.0
191.93,192.23,191.75,192.09,56224.0
192.0,192.0,191.82,191.93,15064.0
191.9,192.1,191.82,192.0,31131.0
191.94,192.21,191.86,191.9,71375.0
191.92,191.98,191.87,191.93,24068.0
191.82,191.97,191.75,191.95,55304.0
191.605,261.44,191.53,191.84,33934.0
191.59,240.5,191.5,191.66,25227.0
191.62,191.83,191.46,191.59,34155.0
191.665,191.89,191.6,191.75,37307.0
191.5,191.88,190.93,191.68,80133.0
191.525,191.6,182.405,191.53,56760.0
191.5,195.216,184.01,191.48,31986.0
191.3,204.969,181.038,191.5,88073.0
191.06,191.3,181.038,191.29,40308.0
191.2,191.25,190.94,191.03,51349.0
191.1,191.2,191.0,191.19,35122.0
190.92,191.16,190.638,191.1,59746.0
190.8,190.94,190.75,190.92,16280.0
190.86,190.97,190.76,190.87,50398.0
190.65,190.89,190.41,190.825,23817.0
190.95,191.07,190.28,190.42,108251.0
191.09,191.1,190.93,190.95,46581.0
190.74,191.14,190.73,191.09,238021.0
190.94,191.01,190.52,190.735,7561020.0
190.17,191.0,190.17,191.0,2281709.0
190.27,190.38,190.015,190.16,1375794.0
190.31,190.35,189.91,190.27,1308739.0
190.55,190.55,190.16,190.315,1269908.0
190.91,190.98,190.47,190.54,1203088.0
191.18,191.48,190.91,190.915,1503384.0
190.941,191.23,190.64,191.2,1685537.0
190.28,190.99,190.16,190.949,1323303.0
189.993,190.33,189.71,190.285,1073127.0
190.07,190.16,189.8,189.988,1016933.0
189.77,190.3,189.6,190.05,1450581.0
188.71,189.82,188.675,189.755,1531757.0
188.45,188.77,188.36,188.69,785318.0
188.44,188.59,188.29,188.452,680689.0
188.965,188.977,188.43,188.435,850913.0
189.08,189.22,188.91,188.965,717914.0
189.33,189.41,188.92,189.069,708049.0
189.04,189.41,188.91,189.32,811058.0
189.199,189.23,188.85,189.032,801913.0
189.059,189.489,189.03,189.19,945311.0
189.18,189.24,188.97,189.07,641126.0
188.84,189.19,188.78,189.18,755832.0
188.875,188.9,188.64,188.859,652233.0
188.58,189.07,188.32,188.879,941102.0
188.365,188.6,188.26,188.597,560726.0
188.075,188.6,188.03,188.359,862973.0
188.12,188.215,188.03,188.078,506003.0
187.896,188.27,187.81,188.121,807336.0
187.85,189.302,187.55,187.9,820438.0
187.44,189.61,187.39,187.851,709218.0
187.534,187.78,187.2,187.424,1059605.0
187.77,187.8,187.32,187.56,1047580.0
187.749,188.07,187.58,187.77,851782.0
187.62,187.92,187.4,187.751,1066369.0
187.836,187.98,187.6,187.616,873426.0
188.41,188.58,187.75,187.821,956715.0
187.96,188.47,187.95,188.397,933616.0
187.95,188.19,187.75,187.97,830101.0
188.187,188.221,187.66,187.94,980061.0
188.39,188.65,188.0,188.187,978389.0
188.354,188.97,188.25,188.391,1407167.0
187.662,188.37,187.66,188.356,1186849.0
188.459,188.459,187.62,187.68,1380021.0
188.299,188.59,188.05,188.45,1297143.0
188.389,188.64,187.93,188.293,1486935.0
188.589,188.59,188.37,188.38,798228.0
188.925,188.97,188.53,188.59,1127139.0
189.427,189.45,188.77,188.92,1226060.0
189.01,189.69,188.82,189.38,1573887.0
189.03,189.06,188.62,189.0,1489108.0
189.305,189.59,188.88,189.043,1597355.0
189.635,189.635,189.1,189.31,1634158.0
189.96,190.15,189.593,189.635,1581806.0
189.89,190.59,189.89,189.982,2299232.0
190.579,190.9,189.81,189.865,2865987.0
189.546,190.59,189.42,190.58,3160717.0
189.73,189.74,189.26,189.534,1715149.0
189.309,189.81,189.23,189.74,2674116.0
188.21,189.325,188.19,189.325,2550530.0
187.27,188.39,187.2,188.22,1936225.0
187.145,187.64,186.96,187.29,1545317.0
187.87,188.12,187.07,187.155,1791639.0
187.883,188.42,184.85,187.887,2748697.0
187.037,187.91,185.5,187.882,3525411.0
185.45,187.37,185.45,187.037,2642611.0
185.27,185.6,185.01,185.47,1375840.0
184.655,185.42,184.48,185.28,1361540.0
185.28,185.44,184.51,184.655,1534866.0
185.43,185.48,184.85,185.26,1647646.0
185.253,186.17,185.12,185.445,1955978.0
184.072,185.75,184.029,185.279,2188082.0
184.1,184.89,183.73,184.047,1904235.0
185.0,185.1,183.67,184.1,2120843.0
184.914,185.29,184.02,185.0,2391038.0
184.94,185.03,184.5,184.91,2083203.0
186.63,186.7,184.77,184.935,3179968.0
185.56,186.88,184.4,186.636,3449597.0
185.63,186.21,184.55,185.554,4346949.0
185.09,185.66,185.08,185.6,141878.0
184.97,185.1,184.93,185.09,32156.0
185.16,185.22,184.9,184.98,36642.0
185.32,185.39,184.9,185.13,52030.0
184.95,185.36,184.89,185.32,73460.0
184.82,184.98,184.43,184.94,63492.0
185.0,185.05,184.8,184.83,38253.0
184.89,185.0,184.83,185.0,19197.0
184.8,185.01,184.76,184.89,48882.0
184.975,185.0,184.74,184.8,36832.0
185.04,185.09,184.75,184.99,39849.0
185.15,185.17,184.94,185.04,41666.0
185.04,185.17,185.0,185.15,19843.0
184.87,185.05,184.81,185.0,47752.0
185.4,185.45,181.13,184.87,58557.0
185.43,185.47,185.3,185.4,24974.0
185.382,185.6,185.25,185.433,51947.0
185.23,186.95,183.23,185.38,335719.0
185.12,185.14,185.05,185.1,13683.0
185.11,185.15,184.85,185.12,26662.0
185.18,185.38,185.05,185.09,26258.0
185.18,185.23,185.1,185.2,6806.0
185.2,185.27,185.02,185.18,24224.0
185.23,185.39,185.14,185.22,20857.0
185.55,185.58,185.2,185.24,18924.0
185.32,185.51,185.32,185.5,26121.0
185.42,185.42,185.2,185.32,25332.0
185.56,185.67,185.0,185.43,42304.0
185.56,185.75,185.5,185.56,31345.0
185.33,185.67,185.01,185.56,54088.0
185.6,185.65,185.3,185.42,11180.0
185.63,185.68,185.59,185.6,8059.0
185.61,185.66,185.52,185.63,5276.0
185.5,185.69,185.4,185.62,12327.0
185.34,185.5,185.24,185.49,11318.0
185.34,185.43,185.21,185.34,8871.0
185.41,185.5,185.33,185.34,6254.0
185.57,185.6,185.35,185.41,12651.0
185.56,185.73,185.55,185.59,11068.0
185.51,185.59,185.48,185.56,5831.0
185.39,185.62,185.33,185.51,12678.0
185.21,185.44,185.2,185.41,7735.0
185.27,185.35,185.16,185.21,4611.0
185.45,185.45,185.2,185.27,12256.0
185.37,185.5,185.35,185.44,11158.0
185.32,185.46,185.3,185.37,11036.0
185.37,185.44,185.25,185.33,9995.0
185.3,185.45,185.3,185.36,5519.0
185.39,185.48,185.22,185.4,10260.0
185.45,185.5,185.27,185.4,6561.0
185.45,185.5,185.4,185.45,6216.0
185.19,185.45,185.19,185.45,7379.0
184.99,185.2,184.98,185.19,5453.0
184.98,184.99,184.81,184.99,5353.0
185.0,185.08,184.9,184.95,9582.0
185.18,185.24,184.89,184.99,10461.0
185.02,185.2,185.02,185.18,7169.0
184.88,185.05,184.7,185.05,11516.0
184.85,184.95,184.72,184.88,9130.0
184.88,185.0,184.7,184.78,15807.0
184.79,185.0,184.65,184.88,16867.0
185.55,185.55,184.68,184.82,34511.0
185.6,185.63,185.44,185.5,10528.0
